Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,PreferenceBias,ResultCorrelation,b1Mean1,b1Mean2,b1Variance,b2Mean1,b2Mean2,b2Variance,b3Mean1,b3Mean2,b3Variance,b4Mean1,b4Mean2,b4Variance,objPerformance1,objPerformance1Var,objPerformance2,objPerformance2Var,seed,subPerformance,subPerformanceVar
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.068331093673354,1.91793921716344,9.049179706326656,1.940187049313083,-1509509558,9.07342902585389,1.8536113052900698
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.099536346787433,1.864465472371795,9.029480053212616,1.8695421044046687,1804188355,9.04855906176066,1.853852300596125
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85078137482193,1.8652398248836168,8.81555742517808,1.8647235299472527,-1469533234,8.821512862610982,1.7998995626315228
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84478891429655,1.8164992048413264,8.818292285703446,1.8388635745108899,-1958813663,8.830854190284162,1.793970797403449
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816223842614242,1.8495213742980272,8.847899357385757,1.8318679181735478,1828765001,8.815602556609143,1.8479562733584058
0.25,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.590421625783716,1.7863483168986143,8.590207174216292,1.783727732123944,-683429655,8.578986724440295,1.7739551346293245
0.25,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60947862977271,1.7877568274918743,8.576928970227277,1.7781203867642748,1546682778,8.577729545125193,1.7026623871268656
0.25,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.588084548063977,1.7388213558616095,8.578932651936043,1.7554725078982552,-616998043,8.599522517738134,1.7761747214285624
0.30000000000000004,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.338104816631045,1.7253806824239584,8.362726383368933,1.7248538641065525,869014791,8.358730998985228,1.6775326016511531
0.30000000000000004,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.335644872795243,1.7039805819783012,8.369037127204738,1.6860414281749678,587998740,8.355233710193708,1.6941277662689023
0.30000000000000004,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.357768407805755,1.7298911589176191,8.341127992194245,1.7225901420301855,-2146684313,8.347758560309876,1.6941712069328148
